name,location
image0.png,"51.523808935848834,-0.12361552269735539"
image1.png,"51.53296114208041,-0.12266397100857453"
image2.png,"51.52930438336627,-0.13961950930289418"
image3.png,"51.52685308824279,-0.11406205015632843"
image4.png,"51.525864376518435,-0.1284028362343975"
image5.png,"51.527196288022225,-0.11925683924261023"
image6.png,"51.537849921587075,-0.1253531077762899"
image7.png,"51.53361351400357,-0.11777442555508141"
image8.png,"51.53142714224719,-0.12725504800576865"
image9.png,"51.53802228987922,-0.11726418665282441"
